Polish ,Korean (human translations) - (Lara),Korean alternate (human translations) - Austin,Korean Formal (human translations),Korean Informal (human translations),"Korean Machine Translations (""model name"") - Sabina",Formality,Korean Machine Translations (OpenNMT) - Lara,Formality,Korean Machine Translations (Yandex.Translate) - Austin,Formality,English,Sentence Structure,Topic Type,Source (if applicable),,,,,
"Według badania przeprowadzonego przez Deloitte, 86% konsumentów uważa, że firmy powinny zająć stanowisko w kwestiach społecznych, co wskazuje na rosnące znaczenie odpowiedzialności społecznej przedsiębiorstw w oczach konsumentów.",딜로이트의 조사에 따르면 소비자의 86%가 기업이 사회적 문제에 대해 입장을 취해야 한다고 믿고 있어 소비자의 눈에 기업의 사회적 책임이 점점 더 중요해지고 있음을 나타냈다. ,,딜로이트의 조사에 따르면 소비자의 86%가 기업이 사회적 문제에 대해 입장을 취해야 한다고 믿고 있어 소비자의 눈에 기업의 사회적 책임이 점점 더 중요해지고 있음을 나타냈습니다.,딜로이트의 조사에 따르면 소비자의 86%가 기업이 사회적 문제에 대해 입장을 취해야 한다고 믿고 있어 소비자의 눈에 기업의 사회적 책임이 점점 더 중요해지고 있음을 나타냈다.,"Deloitte의 조사에 따르면, 소비자의 86 %는 기업이 사회적 문제에 대한 입장을 취해야한다고 생각하며, 이는 소비자의 눈에 기업의 사회적 책임이 증가하는 중요성을 나타냅니다.",Formal,Deloitte가 수행 한 연구에 따르면 소비자의 86%는 회사가 소비자의 사회적 문제의 위치를 취해야한다고 생각합니다.,Formal,"딜로이트 조사에 따르면,소비자의 86%는 기업이 사회적 문제에 대해 입장을 취해야 한다고 믿고 있는데,이는 소비자의 눈에는 기업의 사회적 책임의 중요성이 커지고 있음을 나타냅니다.",Formal,"According to a survey by Deloitte, 86% of consumers believe that companies should take a stand on social issues, indicating the growing importance of corporate social responsibility in the eyes of consumers.",Complex,Business,ChatGPT,,,,,
"Według raportu McKinsey & Company, firmy z zróżnicowanymi zespołami kierowniczymi mają większą szansę na osiągnięcie sukcesu finansowego, a te znajdujące się w górnym kwartylu pod względem różnorodności etnicznej i rasowej są o 36% bardziej dochodowe niż te w dolnym kwartylu.","맥킨지의 보고서에 따르면 다양한 경영진을 보유한 회사는 재무적 성공을 달성할 가능성이 더 높습니다. 인종 및 민족적 다양성이 상위 4분위인 기업은 하위 4분위인 기업보다 수익성이 36% 더 높다.
",,맥킨지의 보고서에 따르면 다양한 경영진을 보유한 회사는 재무적 성공을 달성할 가능성이 더 높습니다. 인종 및 민족적 다양성이 상위 4분위인 기업은 하위 4분위인 기업보다 수익성이 36% 더 높다.,맥킨지의 보고서에 따르면 다양한 경영진을 보유한 회사는 재무적 성공을 달성할 가능성이 더 높습니다. 인종 및 민족적 다양성이 상위 4분위인 기업은 하위 4분위인 기업보다 수익성이 36% 더 높다.,"McKinsey & Company 보고서에 따르면, 다양한 리더십 팀을 가진 회사는 재정적 성공의 확률이 높으며, 인종 및 인종 다양성의 상단 분기에있는 회사는 아래 분기에있는 것보다 36 % 더 수익성이 높습니다.",Formal,"McKinsey & Company의 보고서에 따르면, 회사의 다양한 관리 팀은 재정적 성공을 달성하기 위해 더 많은 기회를 가지고 있으며, 민족 다양성과 인종 다양성 측면에서 상위 분기에 위치한 사람들은 더 낮은 분기보다 36% 더 수익성이 있습니다.",Formal,"맥킨지&컴퍼니의 보고서에 따르면,다양한 경영팀을 가진 회사들은 재정적 성공의 더 나은 기회를 가지고 있으며,인종적,인종적 다양성 측면에서 상위 쿼티일에있는 회사들은 하위 쿼티일보다 36%더 수익성이 있습니다.",Formal,"According to a report by McKinsey & Company, companies with diverse executive teams are more likely to achieve financial success, with those in the top quartile for ethnic and racial diversity being 36% more profitable than those in the bottom quartile.",Complex,Business,ChatGPT,,,,,
"Według badania przeprowadzonego przez Harvard Business Review, firmy, które wprowadzają formalny proces planowania strategicznego, osiągają wyniki lepsze o średnio 12% w porównaniu z tymi, które tego nie robią.","하버드 비즈니스 리뷰의 연구에 따르면 공식적인 전략 계획 프로세스를 구현하는 기업은 그렇지 않은 기업보다 평균 12% 더 높은 성과를 냅니다.
",,하버드 비즈니스 리뷰의 연구에 따르면 공식적인 전략 계획 프로세스를 구현하는 기업은 그렇지 않은 기업보다 평균 12% 더 높은 성과를 냅니다.,하버드 비즈니스 리뷰의 연구에 따르면 공식적인 전략 계획 프로세스를 구현하는 기업은 그렇지 않은 기업보다 평균 12% 더 높은 성과를 냅니다.,하버드 비즈니스 리뷰 (Harvard Business Review)의 연구에 따르면 공식적인 전략 계획 프로세스를 실행하는 회사는 그것을하지 않는 사람들에 비해 평균 12 % 더 나은 결과를 얻습니다.,Formal,"Harvard Business Review에 따르면, 규정 된 전략 계획을 구현하는 회사는 그에 비해 12%의 더 나은 평균을 달성 할 수 없습니다.",Formal,하버드 비즈니스 리뷰가 실시한 연구에 따르면 공식적인 전략 계획 프로세스를 구현하는 회사는 그렇지 않은 회사보다 평균 12%더 낫습니다.,Formal,"According to a study by Harvard Business Review, companies that implement a formal strategic planning process outperform those that don't by an average of 12%.",Complex,Business,ChatGPT,,,,,
"W badaniu przeprowadzonym na 1000 dyrektorów generalnych, 68% stwierdziło, że doświadczyło znaczącej presji, aby wykazać wyniki finansowe w ciągu dwóch lat od objęcia stanowiska dyrektora generalnego.",1000명의 CEO를 대상으로 한 설문 조사에서 68%가 CEO가 된 지 2년 이내에 재무 성과를 입증해야 한다는 상당한 압박을 경험했다고 말했다.,,1000명의 CEO를 대상으로 한 설문 조사에서 68%가 CEO가 된 지 2년 이내에 재무 성과를 입증해야 한다는 상당한 압박을 경험했다고 말했습니다.,1000명의 CEO를 대상으로 한 설문 조사에서 68%가 CEO가 된 지 2년 이내에 재무 성과를 입증해야 한다는 상당한 압박을 경험했다고 말했다.,"1,000 명의 총장에 대한 설문 조사에서 68 %는 총장으로 취임 후 2 년 이내에 재정적 성과를 보여주기 위해 상당한 압박을 받았다고 발견했습니다.",Formal,"총 1,000건의 조사에서, 68%는 감독 총장의 약속 이후 2년 이내에 재정적 결과를 보여주기 위해 상당한 선지가 있다고 밝혔다.",Informal,"1,000 명의 최고경영자를 대상으로 한 설문조사에서 68%는 최고경영자 취임 후 2 년 이내에 재무적 성과를 입증해야 한다는 상당한 압박을 받았다고 답했습니다.",Formal,"In a survey of 1000 CEOs, 68% said that they had experienced significant pressure to demonstrate financial results within two years of becoming CEO.",Complex,Business,ChatGPT,,,,,
"Według badania PwC, 75% dyrektorów generalnych uważa, że zdolność ich firmy do innowacji jest kluczowa dla ich sukcesu.",프라이스워터하우스쿠퍼스의 설문 조사에 따르면 CEO의 75%가 회사의 혁신 능력이 성공에 매우 중요하다고 생각합니다.,,프라이스워터하우스쿠퍼스의 설문 조사에 따르면 CEO의 75%가 회사의 혁신 능력이 성공에 매우 중요하다고 생각합니다.,프라이스워터하우스쿠퍼스의 설문 조사에 따르면 CEO의 75%가 회사의 혁신 능력이 성공에 매우 중요하다고 생각합니다.,"PwC 조사에 따르면, 75 %의 CEO는 회사의 혁신 능력이 성공에 필수적이라고 생각합니다.",Formal,PwC에 따르면 CEO의 75%는 혁신에 그들의 회사의 능력을 고려합니다.,Formal,삼일 연구에 따르면 경영진의 75%는 회사의 혁신 능력이 성공에 결정적이라고 생각합니다.,Formal,"According to a survey by PwC, 75% of CEOs believe that their company's ability to innovate is critical to their success.",Complex,Business,ChatGPT,,,,,
"Według raportu Gartner, firmy, które priorytetowo traktują doświadczenia swoich pracowników, osiągają czterokrotnie wyższe zyski niż te, które tego nie robią.",가트너의 보고서에 따르면 직원 경험을 우선시하는 회사는 그렇지 않은 회사보다 4배 더 높은 수익을 달성합니다.,,가트너의 보고서에 따르면 직원 경험을 우선시하는 회사는 그렇지 않은 회사보다 4배 더 높은 수익을 달성합니다.,가트너의 보고서에 따르면 직원 경험을 우선시하는 회사는 그렇지 않은 회사보다 4배 더 높은 수익을 달성합니다.,"Gartner 보고서에 따르면, 직원의 경험을 우선시하는 회사는 그렇지 않은 회사보다 4 배 더 많은 수익을 얻습니다.",Formal,"Gartner의 보고서에 따르면, 직원의 경험을 우선적으로 인식하는 회사는 그보다 4 배 높은 이익을 얻습니다.",Formal,가트너의 보고서에 따르면 직원의 경험을 우선시하는 회사는 그렇지 않은 회사보다 4 배 더 많은 수익을 얻습니다.,Formal,"According to a report by Gartner, companies that prioritize employee experience achieve four times higher profits than those that don't.",Complex,Business,ChatGPT,,,,,
"Według raportu Forbes, firmy, które priorytetowo traktują innowacje, są 1,7 razy bardziej prawdopodobne, że będą liderami rynku w swojej branży w porównaniu do tych, które tego nie robią.","포브스 보고서에 따르면 혁신을 우선시하는 회사는 그렇지 않은 회사보다 업계에서 시장 리더가 될 가능성이 1.7배 더 높다. 
",,포브스 보고서에 따르면 혁신을 우선시하는 회사는 그렇지 않은 회사보다 업계에서 시장 리더가 될 가능성이 1.7배 더 높습니다.,포브스 보고서에 따르면 혁신을 우선시하는 회사는 그렇지 않은 회사보다 업계에서 시장 리더가 될 가능성이 1.7배 더 높다.,"포브스 보고서에 따르면, 혁신을 우선시하는 회사는 업계에서 리더가 될 가능성이 1.7 배 더 높습니다.",Formal,"Forbes의 보고서에 따르면 전적으로 혁신을 혁신하는 회사는 1,7 배 더 가능성이 그에 비해 업계에서 시장의 선두 주자가 될 것입니다.",Formal,포브스 보고서에 따르면 혁신을 우선시하는 기업은 그렇지 않은 기업에 비해 업계의 시장 리더가 될 가능성이 1.7 배 더 높습니다.,Formal,"According to a report by Forbes, companies that prioritize innovation are 1.7 times more likely to be market leaders in their industry than those that don't.",Complex,Business,ChatGPT,,,,,
"Badanie przeprowadzone przez Uniwersytet Warwick wykazało, że zadowoleni pracownicy są o 12% bardziej produktywni niż ich niezadowoleni odpowiednicy.","워릭대학의 연구에 따르면 행복한 직원은 불행한 직원보다 생산성이 12% 더 높다.
",,워릭대학의 연구에 따르면 행복한 직원은 불행한 직원보다 생산성이 12% 더 높습니다.,워릭대학의 연구에 따르면 행복한 직원은 불행한 직원보다 생산성이 12% 더 높다.,워위크 대학의 연구에 따르면 만족스러운 직원은 불만족스러운 동료들보다 12% 더 생산적입니다.,Formal,Warwick 대학의 연구는 직원의 수익성이 독립적 인 부분보다 12% 더 많은 제품을 보여주었습니다.,Formal,워릭 대학교에서 실시한 한 연구에 따르면 행복한 직원들은 불만족스러운 동료들보다 12%더 생산적입니다.,Formal,A study by the University of Warwick found that happy employees are 12% more productive than their unhappy counterparts.,Complex,Business,ChatGPT,,,,,
"Chrupiąca skórka pieczonej kaczki, która po przekrojeniu mięsa wydobywa aromatyczny zapach, to znak, że danie jest gotowe.",구운오리를 자를때 바삭한 껍질에서 향긋한 향이 풍길때 요리가 준비 되었다는 신호이다. ,,구운오리를 자를때 바삭한 껍질에서 향긋한 향이 풍길때 요리가 준비 되었다는 신호입니다.,구운오리를 자를때 바삭한 껍질에서 향긋한 향이 풍길때 요리가 준비 되었다는 신호이다.,고기를 밀어 넣은 후 향기로운 냄새를 얻는 튀김 껍질은 식사가 준비되어 있다는 신호입니다.,Formal,"cocoa cocoa의 피부는 기적한 냄새를 차단하는 데 사용되며,이 표지판입니다.",Formal,고기를 절단 할 때 향기로운 냄새를 방출하는 구운 오리의 파삭 파삭 한 빵 껍질은 요리가 준비되었다는 신호입니다.,Formal,The crispy skin of a roasted duck that releases an aromatic scent when the meat is cut is a sign that the dish is ready.,Complex,Food / Cuisine,ChatGPT,,,,,
"Kuchnia meksykańska słynie z pikantnych potraw, w których głównymi składnikami są ostra papryka, świeże zioła i aromatyczne przyprawy.","멕시코 요리는 매운 고추, 신선한 허브, 향기로운 향신료를 주재료로 사용하는 매운 요리로 유명하다.
",,"멕시코 요리는 매운 고추, 신선한 허브, 향기로운 향신료를 주재료로 사용하는 매운 요리로 유명합니다.","멕시코 요리는 매운 고추, 신선한 허브, 향기로운 향신료를 주재료로 사용하는 매운 요리로 유명하다.","멕시코 요리는 맛있는 요리로 유명하며, 주요 성분은 날카로운 파프리, 신선한 허브 및 향기로운 요리입니다.",Formal,"주요 성분이 ostra 파프리카, 신선한 허브 및 향기 인 piant potraws가있는 멕시코 요리.",Informal,"멕시코 요리는 매운 요리로 유명하며 주요 재료는 고추,신선한 허브 및 향기로운 향신료입니다.",Formal,"Mexican cuisine is known for its spicy dishes, which use hot peppers, fresh herbs, and aromatic spices as the main ingredients.",Complex,Food / Cuisine,ChatGPT,,,,,
"Kuchnia grecka czerpie z tradycji starożytnej Grecji i śródziemnomorskich klimatów, a jej główne składniki to oliwa, mięso, ryby i świeże warzywa.","그리스 요리는 고대 그리스 전통과 지중해 기후에서 유래했으며 주요 재료는 올리브 오일, 고기, 생선 및 신선한 야채이다.","그리스 음식은 고대 그리스 전통과 지중해 기후에서 비롯되었고, 대표적인 재료로는 올리브 오일, 고기, 생선, 그리고 신선한 야채들이 사용된다","그리스 음식은 고대 그리스 전통과 지중해 기후에서 비롯되었고, 대표적인 재료로는 올리브 오일, 고기, 생선, 그리고 신선한 야채들이 사용됩니다.","그리스 음식은 고대 그리스 전통과 지중해 기후에서 비롯되었고, 대표적인 재료로는 올리브 오일, 고기, 생선, 그리고 신선한 야채들이 사용된다.","그리스 요리는 고대 그리스와 지중해 기후의 전통을 활용하고 있으며 주요 성분은 기름, 고기, 물고기 및 신선한 채소입니다.",Formal,"고대 그리스와 지중해 기후의 그리스 전통과 주요 성분은 올리브, 고기, 생선 및 신선한 야채입니다.",Formal,"그리스 요리는 고대 그리스의 전통과 지중해 성 기후를 기반으로하며 주요 재료는 올리브 오일,고기,생선 및 신선한 채소입니다.",Formal,"Greek cuisine draws from the ancient Greek tradition and Mediterranean climate, and its main ingredients are olive oil, meat, fish, and fresh vegetables.",Complex,Food / Cuisine,ChatGPT,,,,,
Jak ma pan na imię?,"성함이 어떻게 되세요, 선생님?",,"성함이 어떻게 되세요, 선생님?","성함이 어떻게 되세요, 선생님?",당신의 이름은 무엇입니까?,Formal,이름은 무엇입니까?,Formal,이름이 뭐야?,Informal,"What’s your name, Sir?",Interrogative,Conversational / Everyday Phrases,,,,,,
"Przepraszam, nie dosłyszałem, czy może pani powtórzyć?","죄송합니다. 말씀하신 것을 못들었습니다. 다시 말씀해 주시겠습니까, 선생님?",,"죄송합니다. 말씀하신 것을 못들었습니다. 다시 말씀해 주시겠습니까, 선생님?","죄송합니다. 말씀하신 것을 못들었습니다. 다시 말씀해 주시겠습니까, 선생님?","죄송합니다, 나는 당신이 반복 할 수 있는지 듣지 않았다?",Formal,당신은 반복 할 수 있는지 모른다?,Formal,"미안 해요,나는 그것을 잡지 않았다,당신은 그것을 반복 할 수 있을까?",Formal,"I’m sorry, I didn’t hear what you said, can you repeat, please, Ma’am?",Interrogative,Conversational / Everyday Phrases,,,,,,
"Pierogi ruskie to tradycyjna polska potrawa, składająca się z nadzienia z ziemniaków i sera, zawiniętych w ciasto pierogowe, a następnie gotowanych lub pieczonych.",피에로기 루스키 / 러시아 피에로기는 감자와 치즈를 채우고 피에로기 반죽으로 싸서 삶거나 구운 폴란드 전통 요리입니다.,,피에로기 루스키 / 러시아 피에로기는 감자와 치즈를 채우고 피에로기 반죽으로 싸서 삶거나 구운 폴란드 전통 요리입니다.,피에로기 루스키 / 러시아 피에로기는 감자와 치즈를 채우고 피에로기 반죽으로 싸서 삶거나 구운 폴란드 전통 요리입니다.,"러시아 케이크는 전통적인 폴란드 음식으로, 감자와 치즈로 구성되어, 케이크 케이크에 묶여, 그 후에 요리 또는 튀김.",Formal,"첫 번째 ruskie는 전통적인 폴란드어 potrawa, 땅과 심장으로 구성, 옥수수로 흡수 된, 다음 요리 또는 구운.",Informal,러시아 만두는 만두 반죽에 싸서 요리하거나 구운 감자와 치즈 충전물로 구성된 전통적인 폴란드 요리입니다.,Formal,"Pierogi ruskie / Russian pierogi is a traditional Polish dish made of a filling of potatoes and cheese, wrapped in pierogi dough, and then boiled or baked.",Compound,Food / Cuisine,,,,,,
"Ceviche to peruwiańska potrawa, składająca się z surowych owoców morza, marynowanych w soku z limonki, cebuli i pikantnej papryce chili, a jej smak można wzbogacić o kolendrę i inne zioła.","세비체는 라임 주스, 양파 및 매운 칠리 페퍼에 절인 생 해산물로 만든 페루 요리이며 실란트로 및 기타 허브로 맛을 풍부하게 할 수 있다.",,"세비체는 라임 주스, 양파 및 매운 칠리 페퍼에 절인 생 해산물로 만든 페루 요리이며 실란트로 및 기타 허브로 맛을 풍부하게 할 수 있습니다.","세비체는 라임 주스, 양파 및 매운 칠리 페퍼에 절인 생 해산물로 만든 페루 요리이며 실란트로 및 기타 허브로 맛을 풍부하게 할 수 있다.","Ceviche는 레몬 주스, 양파 및 맛있는 칠레 파이프로 마리화나 된 원료 바다 과일로 구성된 페루 음식이며, 그 맛은 콜렌더와 다른 허브로 풍부하게 될 수 있습니다.",Formal,"Ceviche는 페루 감자, cebula 및 piantic 칠리 페퍼와 소금에 담긴 바다의 원료 과일로 구성된 페루 감자이며, 그 맛은 kolendra 및 기타 허브로 풍부 할 수 있습니다.",Formal,"세비체는 라임 주스,양파 및 핫 칠리 페퍼에 절인 생 해산물로 구성된 페루 요리이며 고수 및 기타 허브로 맛을 풍부하게 할 수 있습니다.",Formal,"Ceviche is a Peruvian dish made of raw seafood, marinated in lime juice, onion and spicy chili pepper, and its taste can be enriched with cilantro and other herbs.",Compound,Food / Cuisine,ChatGPT,,,,,
"Tiramisu to włoski deser składający się z biszkoptów nasączonych kawą, kremu mascarpone i kakao, podawany zazwyczaj w szklanych kieliszkach.","티라미수는 커피, 마스카포네 크림, 코코아에 담근 레이디핑거로 만든 이탈리아 디저트로 보통 유리 컵에 제공된다. ",,"티라미수는 커피, 마스카포네 크림, 코코아에 담근 레이디핑거로 만든 이탈리아 디저트로 보통 유리 컵에 제공됩니다.","티라미수는 커피, 마스카포네 크림, 코코아에 담근 레이디핑거로 만든 이탈리아 디저트로 보통 유리 컵에 제공된다.","Tiramisu는 커피, 마스카르포네 크림 및 카카오로 포화 된 비스코트로 구성된 이탈리아 디저트이며, 일반적으로 유리 컵으로 제공됩니다.",Formal,"Tiramisu는 커피, mascarpone 및 kao로 만든 biszkopts로 구성된 이탈리아 deser입니다. 일반적으로 유리 주머니에 제공됩니다.",Formal,"티라미수는 커피에 담근 비스킷,마스카포네 크림 및 코코아로 구성된 이탈리아 디저트로 일반적으로 유리 잔에 제공됩니다.",Formal,"Tiramisu is an Italian dessert made of ladyfingers soaked in coffee, mascarpone cream and cocoa, usually served in glass cups.",Compound,Food / Cuisine,ChatGPT,,,,,
"Wiener schnitzel to austriacka potrawa, składająca się z cienko rozbitego kawałka mięsa (najczęściej cielęcego), obtoczonego w jajku i bułce tartej, a następnie smażonego na złoty kolor, podawana z ziemniakami i sałatką.",비너슈니첼은 얇게 두드린 고기 조각(보통 송아지 고기)으로 만든 오스트리아 요리로 계란과 빵가루를 입힌 다음 황금색으로 튀긴 다음 감자와 샐러드와 함께 제공된다. ,,비너슈니첼은 얇게 두드린 고기 조각(보통 송아지 고기)으로 만든 오스트리아 요리로 계란과 빵가루를 입힌 다음 황금색으로 튀긴 다음 감자와 샐러드와 함께 제공됩니다.,비너슈니첼은 얇게 두드린 고기 조각(보통 송아지 고기)으로 만든 오스트리아 요리로 계란과 빵가루를 입힌 다음 황금색으로 튀긴 다음 감자와 샐러드와 함께 제공된다.,"Wiener schnitzel은 오스트리아 음식으로, 달걀과 튀김 덩어리로 둘러싸인 부드럽게 찢어진 고기 (일반적으로 튀김) 조각으로 구성되어, 그 후 황금색으로 튀김, 감자와 샐러드와 함께 제공됩니다.",Formal,"와이너 스키니젤은 오스트리아의 potrawa이며, cienko는 고기 (가장 일반적인 여성), 계란과 bułce 타르에 비추고, 감자와 고기와 함께 금으로 뿌려.",Informal,"즐로티 슈니첼은 얇게 부서진 고기 조각(대부분 송아지 고기)으로 구성된 오스트리아 요리로,계란과 빵 부스러기에 굴린 다음 황금빛 갈색이 될 때까지 튀겨 감자와 샐러드와 함께 제공됩니다.",Formal,"Wiener schnitzel is an Austrian dish made of a thinly pounded piece of meat (usually veal), coated in egg and breadcrumbs, and then fried to a golden color, served with potatoes and salad.",Compound,Food / Cuisine,ChatGPT,,,,,
"Gdy po raz pierwszy spróbowałem sushi, zachwyciła mnie jego delikatność i subtelny smak ryby.",처음 스시를 먹었을 때 섬세함과 은은한 생선 맛에 놀랐다.,처음으로 스시를 먹었을 때 생선의 은은한 맛과 섬세함에 놀랐다.,처음으로 스시를 먹었을 때 생선의 은은한 맛과 섬세함에 놀랐습니다.,처음으로 스시를 먹었을 때 생선의 은은한 맛과 섬세함에 놀랐다.,"내가 처음으로 수시를 시도했을 때, 나는 그것의 부드러움과 물고기의 미묘한 맛에 감탄했다.",Informal,"그는 초밥에 처음 시도 할 때, 그는 물고기의 섬세한 맛과 미묘한 맛을 즐겼습니다.",Formal,"처음 초밥을 맛 보았을 때,나는 그 부드러움과 섬세한 생선 맛에 놀랐습니다.",Formal,"When I tried sushi for the first time, I was amazed by its delicacy and subtle fish flavor.",Compound,Food / Cuisine,ChatGPT,,,,,
"W kuchni francuskiej, sos bearnaise jest często podawany do steków, a jego bazą jest sos hollandaise, do którego dodaje się estragon i szalotki.","프랑스 요리에서 베어네즈 소스는 스테이크와 함께 제공되는 경우가 많으며, 홀랜다이즈 소스에 타라곤과 샬롯을 가미한 소스이다.
",,"프랑스 요리에서 베어네즈 소스는 스테이크와 함께 제공되는 경우가 많으며, 홀랜다이즈 소스에 타라곤과 샬롯을 가미한 소스입니다.","프랑스 요리에서 베어네즈 소스는 스테이크와 함께 제공되는 경우가 많으며, 홀랜다이즈 소스에 타라곤과 샬롯을 가미한 소스이다.","프랑스 요리에서, bearnaise 소스는 종종 스테이크에 제공되며, 그것의 기초는 estragon과 바보를 추가하는 네덜란드 소스입니다.",Formal,"프랑스 요리에서, sos bearnaise는 종종 stek로 제공, 그것의 기초는 sos hollandaise, 이는 estragon 및 미쳐를 제공.",Informal,"프랑스 요리에서 베어네즈 소스는 종종 스테이크와 함께 제공되며,그 기초는 타라곤과 샬롯이 첨가되는 홀란다이즈 소스입니다.",Formal,"In French cuisine, bearnaise sauce is often served with steaks, and it is based on hollandaise sauce to which tarragon and shallots are added.",Compound,Food / Cuisine,ChatGPT,,,,,
"Kuchnia koreańska słynie z szerokiego wyboru fermentowanych potraw, takich jak kimchi czy kiszona kapusta, które stanowią ważny element koreańskiej diety.",한국 요리는 한국 식단의 중요한 부분인 김치나 절인 배추와 같은 다양한 발효 요리로 유명하다. ,,한국 요리는 한국 식단의 중요한 부분인 김치나 절인 배추와 같은 다양한 발효 요리로 유명합니다.,한국 요리는 한국 식단의 중요한 부분인 김치나 절인 배추와 같은 다양한 발효 요리로 유명하다.,한국 요리는 킴치와 옥수수와 같은 광범위한 발효 식품 선택으로 유명하며 한국식이 요법의 중요한 요소입니다.,Formal,"Coreański의 김치 또는 kised capusta와 같은 발효 설탕의 능력, 이는 한국의 식단의 중요한 요소.",Informal,한국 요리는 한국 식단의 중요한 부분인 김치나 사우스크롤과 같은 발효 식품의 다양한 선택으로 유명하다.,Formal,"Korean cuisine is known for a wide range of fermented dishes, such as kimchi or pickled cabbage, which are an important part of the Korean diet.",Compound,Food / Cuisine,ChatGPT,,,,,
"Bogate, pikantne smaki kuchni tajskiej pochodzą z mieszanki ziół i przypraw, takich jak trawa cytrynowa, imbir i chili.","태국 요리의 풍부하고 매운 맛은 레몬그라스, 생강, 칠리와 같은 허브와 향신료의 혼합에서 파생된다.
",,"태국 요리의 풍부하고 매운 맛은 레몬그라스, 생강, 칠리와 같은 허브와 향신료의 혼합에서 파생됩니다.","태국 요리의 풍부하고 매운 맛은 레몬그라스, 생강, 칠리와 같은 허브와 향신료의 혼합에서 파생된다.","풍부하고 맛있는 태국 요리의 맛은 레몬 잔디, 잉크 및 칠레와 같은 허브와 향신료의 혼합물에서 나온다.",Formal,"태국 요리의 Godte, piant 맛은 레몬그라스, imbir 및 chili와 같은 혼합 허브와 향신료가 제공됩니다.",Formal,"태국 요리의 풍부하고 매운 맛은 레몬 그라스,생강,칠리 페퍼와 같은 허브와 향신료의 혼합물에서 비롯됩니다.",Formal,"The rich, spicy flavors of Thai cuisine are derived from a blend of herbs and spices like lemongrass, ginger, and chilies.",Compound,Food / Cuisine,ChatGPT,,,,,
"Naengmyeon to danie z zimnego makaronu ziemniaczanego, podawanego w bulionie z octem, sosu sojowego i cukru, z dodatkiem mięsa i warzyw.","냉면이라는 요리는 차가운 고구마전분 면과 식초, 간장, 그리고 설탕이 고기와 야채 육수에 곁들어 있다.  ",,"냉면이라는 요리는 차가운 고구마전분 면과 식초, 간장, 그리고 설탕이 고기와 야채 육수에 곁들어 있습니다.","냉면이라는 요리는 차가운 고구마전분 면과 식초, 간장, 그리고 설탕이 고기와 야채 육수에 곁들어 있다.","Naengmyeon은 옥수수, 소아 소스 및 설탕, 고기와 야채의 추가로 냄비에 주어진 차가운 감자 파스타로 만들어진 식사입니다.",Formal,"Naengmyeon는 지중해의 냉면이며, 10월, 소수 간장, 육류 및 야채가 첨가되어 있습니다.",Formal,"나엔미온은 차가운 감자 누들 요리로,식초,콩 소스,설탕과 함께 고기와 채소를 첨가하여 소금으로 제공된다.",Formal,"Naengmyeon is a dish of cold sweet potato noodles served in a broth of vinegar, soy sauce, and sugar, with added meat and vegetables.",Compound,Food / Cuisine,ChatGPT,,,,,
"Gdy mam ochotę na coś sycącego i wykwintnego, uwielbiam zrobić sobie dużą miskę bibimbap, z dużą ilością świeżych warzyw, usmażonym jajkiem na wierzchu i mnóstwem sosu gochujang.","나는 짭잘하고 포만감 있는 음식이 땡길 때마다 큰 그릇에 신선한 야채를 듬뿍 넣고 위에 달걀 프라이를 얹고 고추장 소스를 듬뿍 넣은 빔밥을 만드는 것을 좋아한다.
",,나는 짭잘하고 포만감 있는 음식이 땡길 때마다 큰 그릇에 신선한 야채를 듬뿍 넣고 위에 달걀 프라이를 얹고 고추장 소스를 듬뿍 넣은 빔밥을 만드는 것을 좋아합니다.,나는 짭잘하고 포만감 있는 음식이 땡길 때마다 큰 그릇에 신선한 야채를 듬뿍 넣고 위에 달걀 프라이를 얹고 고추장 소스를 듬뿍 넣은 빔밥을 만드는 것을 좋아한다.,"뭔가 부드럽고 부드러운 것을 원할 때, 나는 신선한 야채의 큰 양, 꼭대기에 튀긴 달걀과 많은 Gochujang 소스를 가진 큰 베이비 팩을 좋아합니다.",Formal,"그는 슬픈 무언가에 ochota가있을 때, 그는 신선한 야채의 큰 양과 함께 bibimbap의 큰 거래를 만들기 위해 사랑, 정상과 mnónia sou gochujang에 osmazoned 계란.",Formal,"풍성하고 맛있는 것을 갈망 할 때,나는 신선한 야채,튀긴 계란,고추장 소스를 많이 넣은 피빔파파 한 그릇을 요리하는 것을 좋아합니다.",Formal,"Whenever I'm in the mood for something savory and filling, I love to make myself a big bowl of bibimbap, with lots of fresh veggies, a fried egg on top, and plenty of gochujang sauce.",Compound,Food / Cuisine,ChatGPT,,,,,
